#\ Voltage 
# V = Voltage in V
# E = Charge in eV

#! V[f,0]/     E[f,1]/ 
1500            0      
1550            0      
1600            0      
1650            3.329
1700            4.771           
1750            5.873       
1800            6.891        
1850            10.307
1900            13.97         
1950            16.135
2000            19.62
2050            27.882
2100            35.581
2150            41.82
2200            50.183
2250            61.054
2300            62.232
2350            71.976
2400            88.842
2450            106.922
2500            123.649
